#DF photometry of massive galaxies for the final analysis sample used in Miller et al. 2020: https://arxiv.org/abs/2010.07310
#Please see the paper above for full details on these observations and how this sample was selected
#If you have questions about the data, trouble using it or want additional measruments please email me at tim.miller _at_ yale.edu
#Rows:
#(1) RA J2000 (deg) 
#(2) DEC J2000 (deg) 
#(3) GAMA CATAID - Unique galaxy ID used in the GAMA database 
#(4) SDSS DR7 Object ID - Unique SDSS photo ID 
#(5) g mag - Dragonfly measured g band magnitude converted to SDSS filter system
#(6) g f_extp - g band fraction of flux contained in the exponential extrapolation (see paper for details)
#(7) r mag - Dragonfly measured r band magnitude converted to SDSS filter system
#(8) r f_extp - r band fraction of flux contained in the exponential extrapolation (see paper for details)
#(9) g-r color - Dragonfly measured g-r color using the total magnitudes, corrected for differenetial extinction and converted to SDSS filter system
1.7607e+02	-1.7198e+00	136787	587724650329079928	1.7159e+01	1.8536e-04	1.6291e+01	1.2472e-04	8.4689e-01
1.7621e+02	-1.8085e+00	136853	587724650329145478	1.7853e+01	1.9074e-03	1.7074e+01	2.1325e-03	7.6163e-01
1.7626e+02	-1.8337e+00	136868	587724650329145533	1.8020e+01	1.4804e-03	1.7140e+01	1.2399e-03	8.6432e-01
1.7662e+02	-1.8386e+00	136963	587724650329276625	1.7811e+01	5.2185e-04	1.6920e+01	2.6386e-03	8.7106e-01
1.7705e+02	-1.7280e+00	137086	587724650329473206	1.8855e+01	2.0969e-02	1.7849e+01	4.7236e-04	9.8818e-01
1.7706e+02	-1.7460e+00	137096	587724650329473274	1.8388e+01	8.2558e-04	1.7601e+01	2.5791e-04	7.6843e-01
1.7740e+02	-1.8128e+00	137202	587724650329669759	1.8950e+01	5.2413e-02	1.8019e+01	1.1833e-02	9.1002e-01
1.7431e+02	-1.3614e+00	143162	587724650865164443	1.9151e+01	1.0581e-02	1.8110e+01	2.0011e-03	1.0190e+00
1.7447e+02	-1.2761e+00	143183	587724650865229926	1.8933e+01	3.6838e-04	1.8117e+01	2.2998e-03	7.9906e-01
1.7471e+02	-1.3286e+00	143220	587724650865360993	1.8679e+01	6.8837e-04	1.7798e+01	8.2195e-04	8.6004e-01
